,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state,total_man_by_state,total_woman_by_state,total_people_by_state_and_age_range,total_man_by_state_and_age_range,total_woman_by_state_and_age_range,rate_level
35,2005,Campeche,No recibe ingresos,39159,837,0,0,0,0,0,0,0,0
36,2005,Chiapas,1 salario m¡nimo,9054,1949,0,0,0,0,0,0,0,0
37,2005,Chiapas,Menos de 1 s.m.,2642672,173988,0,0,0,0,0,0,0,0
38,2005,Chiapas,M s de 1 hasta 2 s.m.,32363,7005,0,0,0,0,0,0,0,0
39,2005,Chiapas,M s de 10 s.m.,918823,581453,0,0,0,0,0,0,0,0
40,2005,Chiapas,M s de 2 hasta 3 s.m.,415223,7916,0,0,0,0,0,0,0,0
41,2005,Chiapas,M s de 3 hasta 5 s.m.,455759,226555,0,0,0,0,0,0,0,0
42,2005,Chiapas,M s de 5 hasta 10 s.m.,100311,27647,0,0,0,0,0,0,0,0
43,2005,Chiapas,No especificado,23222,10281,0,0,0,0,0,0,0,0
44,2005,Chiapas,No recibe ingresos,210116,7479,0,0,0,0,0,0,0,0
45,2005,Chihuahua,1 salario m¡nimo,10916,10916,0,0,0,0,0,0,0,0
46,2005,Chihuahua,Menos de 1 s.m.,500772,22687,0,0,0,0,0,0,0,0
47,2005,Chihuahua,M s de 1 hasta 2 s.m.,32882,4949,0,0,0,0,0,0,0,0
48,2005,Chihuahua,M s de 10 s.m.,814125,342134,0,0,0,0,0,0,0,0
49,2005,Chihuahua,M s de 2 hasta 3 s.m.,363994,12760,0,0,0,0,0,0,0,0
50,2005,Chihuahua,M s de 3 hasta 5 s.m.,1234135,472047,0,0,0,0,0,0,0,0
51,2005,Chihuahua,M s de 5 hasta 10 s.m.,114287,39205,0,0,0,0,0,0,0,0
52,2005,Chihuahua,No especificado,61390,19494,0,0,0,0,0,0,0,0
53,2005,Chihuahua,No recibe ingresos,133321,14251,0,0,0,0,0,0,0,0
54,2005,Ciudad de Mxico,1 salario m¡nimo,23154,5703,0,0,0,0,0,0,0,0
55,2005,Ciudad de Mxico,Menos de 1 s.m.,70315,7429,0,0,0,0,0,0,0,0
56,2005,Ciudad de Mxico,M s de 1 hasta 2 s.m.,81373,7109,0,0,0,0,0,0,0,0
57,2005,Ciudad de Mxico,M s de 10 s.m.,2842201,1357423,0,0,0,0,0,0,0,0
58,2005,Ciudad de Mxico,M s de 2 hasta 3 s.m.,840869,64655,0,0,0,0,0,0,0,0
59,2005,Ciudad de Mxico,M s de 3 hasta 5 s.m.,2075100,732791,0,0,0,0,0,0,0,0
60,2005,Ciudad de Mxico,M s de 5 hasta 10 s.m.,549324,184335,0,0,0,0,0,0,0,0
61,2005,Ciudad de Mxico,No especificado,316327,109512,0,0,0,0,0,0,0,0
